title|overview|genres_|keywords_
Superman Returns|Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.|Adventure_Fantasy_Action_Science Fiction|saving the world_dc comics_invulnerability_sequel_superhero_based on comic book_kryptonite_super powers_superhuman strength_lex luthor
Quantum of Solace|Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.|Adventure_Action_Thriller_Crime|killing_undercover_secret agent_british secret service
Pirates of the Caribbean: Dead Man's Chest|Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.|Adventure_Fantasy_Action|witch_fortune teller_bondage_exotic island_monster_captain_card game_east india trading company_compass_ship_daughter_pirate_swashbuckler_aftercreditsstinger
The Lone Ranger|The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.|Action_Adventure_Western|texas_horse_survivor_texas ranger_partner_outlaw_escape_lawyer_train_lone ranger_comanche_the lone ranger_tonto
Man of Steel|A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.|Action_Adventure_Fantasy_Science Fiction|saving the world_dc comics_superhero_based on comic book_superhuman_alien invasion_reboot_super powers_dc extended universe
The Chronicles of Narnia: Prince Caspian|One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.|Adventure_Family_Fantasy|based on novel_fictional place_brother sister relationship_lion_human being_wretch_leap in time_matter of life and death_faith_uncle_narnia_fantasy world
The Avengers|When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!|Science Fiction_Action_Adventure|new york_shield_marvel comic_superhero_based on comic book_alien invasion_superhero team_aftercreditsstinger_duringcreditsstinger_marvel cinematic universe
Pirates of the Caribbean: On Stranger Tides|Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.|Adventure_Action_Fantasy|sea_captain_mutiny_sword_prime minister_sailing_silver_ship_duke_mermaid_pirate_soldier_battle_swashbuckler_aftercreditsstinger_3d
Men in Black 3|Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.|Action_Comedy_Science Fiction|time travel_time machine_alien_fictional government agency_seeing the future_changing history
The Hobbit: The Battle of the Five Armies|Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.|Action_Adventure_Fantasy|corruption_elves_dwarves_orcs_middle-earth (tolkien)_hobbit_dragon_battle_unlikely friendship_epic battle_sword and sorcery
The Amazing Spider-Man|Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.|Action_Adventure_Fantasy|loss of father_vigilante_serum_marvel comic_scientific experiment_spider bite_masked vigilante_reboot_super powers_genetic engineering_social outcast_duringcreditsstinger
Robin Hood|When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.|Action_Adventure|robin hood_archer_knight_sherwood forest_bow and arrow_middle ages_medieval_king of england
The Hobbit: The Desolation of Smaug|The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.|Adventure_Fantasy|elves_dwarves_orcs_hobbit_dragon_wizard_sword and sorcery
The Golden Compass|After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.|Adventure_Fantasy|england_compass_experiment_lordship_uncle_polar bear_orphan_animal_based on young adult novel
King Kong|In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.|Adventure_Drama_Action|film business_screenplay_show business_film making_film producer_exotic island_monster_indigenous_ship_dinosaur
Titanic|84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.|Drama_Romance_Thriller|shipwreck_iceberg_ship_panic_titanic_ocean liner_epic_rich woman - poor man_love_disaster_tragic love_class differences_imax_star crossed lovers_steerage_salvage_rich snob_3d_1910s
Captain America: Civil War|Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.|Adventure_Action_Science Fiction|civil war_war_marvel comic_sequel_superhero_based on comic book_imax_aftercreditsstinger_duringcreditsstinger_marvel cinematic universe_3d
Battleship|When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.|Thriller_Action_Adventure_Science Fiction|fight_u.s. navy_mind reading_hong kong_soccer_scientist_fictional war_naval_armada_battleship_naval combat_jds myoko_lost communication_taser_buoy_communications expert_joint chiefs of staff_crash landing_jet fighter pilot_navy lieutenant_permission to marry_uss john paul jones_based on board game_aftercreditsstinger_mighty mo_uss missouri
Jurassic World|Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.|Action_Adventure_Science Fiction_Thriller|monster_dna_tyrannosaurus rex_velociraptor_island_sequel_suspense_disaster_escape_dinosaur_amusement park_animal attack_theme park_jurassic park_3d_animal horror
Skyfall|When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.|Action_Adventure_Thriller|spy_secret agent_sociopath_killer_art gallery_british secret service_istanbul turkey_imax_uzi_booby trap_impersonating a police officer_macao
Spider-Man 2|Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.|Action_Adventure_Fantasy|dual identity_love of one's life_pizza boy_marvel comic_sequel_superhero_doctor_scientist_tentacle_death_super villain
Iron Man 3|When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.|Action_Adventure_Science Fiction|terrorist_war on terror_tennessee_malibu_marvel comic_superhero_based on comic book_tony stark_iron man_aftercreditsstinger_marvel cinematic universe_mandarin_3d_war machine_iron patriot_extremis
Alice in Wonderland|Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.|Family_Fantasy_Adventure|based on novel_fictional place_queen_fantasy_alice in wonderland_fantasy world_3d
X-Men: The Last Stand|When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.|Adventure_Action_Science Fiction_Thriller|mutant_marvel comic_based on comic book_superhuman_beast_cyclops_aftercreditsstinger
Monsters University|A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.|Animation_Family|monster_dormitory_games_animation_best friend_university_scary_aftercreditsstinger
Transformers: Revenge of the Fallen|Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.|Science Fiction_Action_Adventure|egypt_sun_chaos_symbol_artifact_transformers_tank_robot_imax_duringcreditsstinger
Transformers: Age of Extinction|"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs."|Science Fiction_Action_Adventure|sequel_alien_transformers_giant robot_robot_imax_transforming robot
Oz: The Great and Powerful|Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.|Fantasy_Adventure_Family|circus_witch_magic_hope_illusion_lost_magic trick_wizard_3d
The Amazing Spider-Man 2|For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.|Action_Adventure_Fantasy|obsession_marvel comic_sequel_based on comic book_electrocution_medical experiment_electricity_super powers
TRON: Legacy|Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.|Adventure_Action_Science Fiction|artificial intelligence_secret identity_computer program_dystopia_computer_deception_duel_motorcycle_neon light_autocracy
Cars 2|Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.|Animation_Family_Adventure_Comedy|car race_sequel_comedy_anthropomorphism_best friend_duringcreditsstinger
Green Lantern|For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.|Adventure_Action_Thriller_Science Fiction|dc comics_transformation_superhero_alien_alien infection_magical object_protector_super powers_origin_3d
Toy Story 3|Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.|Animation_Family_Comedy|hostage_college_toy_barbie_animation_escape_day care_teddy bear_duringcreditsstinger_toy comes to life_personification_inanimate objects coming to life_toy story
Terminator Salvation|All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.|Action_Science Fiction_Thriller|saving the world_artificial intelligence_prophecy_san francisco_cyborg_killer robot_gas station_post-apocalyptic_dystopia_army_firearm_wartime_los angeles
Furious 7|Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.|Action|car race_speed_revenge_suspense_car_race_muscle car
World War Z|Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.|Action_Drama_Horror_Science Fiction_Thriller|dystopia_apocalypse_zombie_nuclear weapons_multiple perspectives_zombie apocalypse
X-Men: Days of Future Past|The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.|Action_Adventure_Fantasy_Science Fiction|1970s_mutant_time travel_marvel comic_based on comic book_superhuman_storm_beast_aftercreditsstinger_changing the past or future
Star Trek Into Darkness|When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.|Action_Adventure_Science Fiction|spacecraft_friendship_sequel_futuristic_space_alien_imax_space opera_terrorist bombing_3d
Jack the Giant Slayer|The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.|Action_Family_Fantasy|based on fairy tale_giant
The Great Gatsby|An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.|Drama_Romance|based on novel_infidelity_obsession_hope_3d
Prince of Persia: The Sands of Time|A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.|Adventure_Fantasy_Action_Romance|persia_sandstorm_brother against brother_armageddon_regent_based on video game
Pacific Rim|When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.|Action_Science Fiction_Adventure|dystopia_giant robot_giant monster_apocalypse_imax_duringcreditsstinger_3d
Transformers: Dark of the Moon|Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.|Action_Science Fiction_Adventure|moon_spacecraft_traitor_bodyguard_alien planet_based on cartoon_transformers_giant robot_sabotage_word domination_commando_duringcreditsstinger
Indiana Jones and the Kingdom of the Crystal Skull|Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.|Adventure_Action|saving the world_riddle_whip_treasure_mexico city_leather jacket_machinegun_alien phenomenons_maya civilization_peru_treasure hunt_nuclear explosion_refrigerator_archaeologist_indiana jones_archeology 
The Good Dinosaur|An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.|Adventure_Animation_Family|tyrannosaurus rex_friends_alternate history_dinosaur_fear_storm_nature_human_journey
Brave|Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.|Animation_Adventure_Comedy_Family_Action_Fantasy|scotland_rebel_bravery_kingdom_archer_wish_bear_scot_rebellious daughter_turns into animal_archery_ruins_aftercreditsstinger_peace offering_woman director_courage_3d
Star Trek Beyond|The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.|Action_Adventure_Science Fiction|sequel_stranded_hatred_space opera
WALL·E|WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.|Animation_Family|romantic comedy
Rush Hour 3|After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.|Action_Comedy_Crime_Thriller|ambassador
2012|"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."|Action_Adventure_Science Fiction|civilization_natural disaster_end of the world_disaster_apocalypse_destruction_volcanic eruption_mayan_ark_solar_destruction  of mankind
A Christmas Carol|Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.|Animation_Drama|holiday_based on novel_victorian england_money_christmas eve_scrooge_christmas carol_ghost_lesson_charles dickens_christmas
Jupiter Ascending|In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…|Science Fiction_Fantasy_Action_Adventure|jupiter_space_woman director_3d_interspecies romance
The Legend of Tarzan|Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.|Action_Adventure|africa_feral child_tarzan_jungle_animal attack
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.|Adventure_Family_Fantasy|saving the world_witch_based on novel_brother sister relationship_self sacrifice_winter_cupboard_beaver_lion_fairy-tale figure_battle_narnia_fantasy world_duringcreditsstinger
X-Men: Apocalypse|After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.|Science Fiction|mutant_supernatural powers_marvel comic_superhero_based on comic book_superhuman_apocalypse_superhero team_world domination_aftercreditsstinger_1980s
The Dark Knight|Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.|Drama_Action_Crime_Thriller|dc comics_crime fighter_secret identity_scarecrow_sadism_chaos_gotham city_vigilante_joker_superhero_based on comic book_tragic hero_organized crime_criminal mastermind_district attorney_imax_super villain_super powers_batman
Up|Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.|Animation_Comedy_Family_Adventure|age difference_central and south america_balloon_animation_floating in the air_duringcreditsstinger_exploring
Monsters vs Aliens|When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...|Animation_Family_Adventure_Science Fiction|alien_giant robot_duringcreditsstinger
Iron Man|After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.|Action_Science Fiction_Adventure|middle east_arms dealer_malibu_marvel comic_superhero_based on comic book_tony stark_iron man_aftercreditsstinger_marvel cinematic universe_counter terrorism_agent coulson
Hugo|Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.|Adventure_Drama_Family|library_clock_film director_key_toy_boy_love_orphan_robot_automaton_hiding_filmmaking_leg brace_doberman_3d
Wild Wild West|Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.|Action_Adventure_Comedy_Science Fiction_Western|steampunk_based on tv series_steam locomotive_drag
The Mummy: Tomb of the Dragon Emperor|Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.|Adventure_Action_Fantasy|
